# LANCTL error catalog - generated; do not edit manually
# FORMAT: ERROR_ID | LEVEL | SOURCE_FILE | LINE | ORIGIN | KIND
# Static IDs derive from semantic points; literal runtime events use origin + code
0e2F952669 | 36 | src/lanctl/apps/wire/cli/commands.py | 271 | src.lanctl.apps.wire.cli.commands.CommandProcessor._idf_options | raise
0e30111876 | 46 | src/lanctl/apps/ip/infrastructure/protocols/ssh.py | 299 | src.lanctl.apps.ip.infrastructure.protocols.ssh.open_colored_interactive | raise
0e3029A22A | 36 | src/lanctl/apps/access/auth.py | 59 | src.lanctl.apps.access.auth.fingerprint_key | raise
0e30427FC0 | 32 | src/lanctl/apps/ip/interfaces/cli/commands/group.py | 48 | src.lanctl.apps.ip.interfaces.cli.commands.group.run_group | raise
0e30BE53E6 | 41 | src/lanctl/apps/ip/interfaces/cli/commands/access.py | 156 | src.lanctl.apps.ip.interfaces.cli.commands.access.run_access | raise
0e30C0B861 | 33 | src/lanctl/core/conditions.py | 14 | src.lanctl.core.conditions.duration | raise
0e30F0F18E | 45 | src/lanctl/core/plugins/events.py | 63 | src.lanctl.core.plugins.events.EventRegistry.remove_owner | raise
0e3131B8D2 | 47 | src/lanctl/core/plugins/smb_runtime.py | 161 | src.lanctl.core.plugins.smb_runtime.SMBNative.shares | raise
0e3157E374 | 42 | src/lanctl/apps/monitor/configuration.py | 68 | src.lanctl.apps.monitor.configuration.MonitorConfig.__post_init__ | raise
0e318299C5 | 06 | src/lanctl/core/plugins/manager.py | 181 | src.lanctl.core.plugins.manager.PluginManager.activate_enabled | diagnostic
0e31D79967 | 33 | src/lanctl/shared/assets/icons.py | 275 | src.lanctl.shared.assets.icons._validate_dimensions | raise
